,Group,Unshuffle Average,Shuffle Average,Unshuffle Max,Shuffle Max,Unshuffle Min,Shuffle Min
0,Late,71.8%,72.1%,93.5%,92.7%,46.9%,46.9%
1,CueRein,64.3%,65.5%,89.7%,91.5%,18.8%,34.4%
